Chain	ENSEMBL_ID	Gene
A	ENSG00000164405	UQCRQ
B	ENSG00000169021	UQCRFS1
C	ENSG00000169021	UQCRFS1
D	ENSG00000184076	UQCR10
E	ENSG00000173660	UQCRH
F	ENSG00000156467	UQCRB
G	ENSG00000127540	UQCR11
H	ENSG00000179091	CYC1
J	ENSG00000198727	MT-CYB
K	ENSG00000140740	UQCRC2
L	ENSG00000010256	UQCRC1
N	ENSG00000164405	UQCRQ
O	ENSG00000169021	UQCRFS1
P	ENSG00000169021	UQCRFS1
Q	ENSG00000184076	UQCR10
R	ENSG00000173660	UQCRH
S	ENSG00000156467	UQCRB
T	ENSG00000127540	UQCR11
U	ENSG00000179091	CYC1
V	ENSG00000198727	MT-CYB
W	ENSG00000140740	UQCRC2
Y	ENSG00000010256	UQCRC1
