Chain	ENSEMBL_ID	Gene
N	ENSG00000124172	ATP5E
O	ENSG00000152234	ATP5F1A
P	ENSG00000152234	ATP5F1A
Q	ENSG00000152234	ATP5F1A
S	ENSG00000110955	ATP5F1B
R	ENSG00000110955	ATP5F1B
T	ENSG00000110955	ATP5F1B
M	ENSG00000165629	ATP5F1C
V	ENSG00000099624	ATP5F1D
E	ENSG00000159199	ATP5MC1
F	ENSG00000159199	ATP5MC1
G	ENSG00000159199	ATP5MC1
H	ENSG00000159199	ATP5MC1
A	ENSG00000159199	ATP5MC1
B	ENSG00000159199	ATP5MC1
C	ENSG00000159199	ATP5MC1
D	ENSG00000159199	ATP5MC1
W	ENSG00000173915	ATP5MD
U	ENSG00000169020	ATP5ME
2	ENSG00000241468	ATP5MF
K	ENSG00000167283	ATP5MG
X	ENSG00000156411	ATP5MJ
J	ENSG00000116459	ATP5PB
Z	ENSG00000167863	ATP5PD
Y	ENSG00000154723	ATP5PF
L	ENSG00000241837	ATP5PO
I	ENSG00000198899	MT-ATP6
1	ENSG00000228253	MT-ATP8
